Handle,Title,Description,Status,Thumbnail,Image 1,Image 2,Image 3,Profile Name,Option 1 Name,Option 1 Value,Variant SKU,Variant Inventory Quantity,Variant Manage Inventory,Variant Allow Backorder,Variant Price [INR]
"slim-fit-t-shirt-180gsm-2","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-96-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","SLIM-FIT-T-SHIRT-180GSM-2-XXL",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-3","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-07-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-004?wid=2048&hei=2867&fit=crop","Default","Size","XS","SLIM-FIT-T-SHIRT-180GSM-3-XS",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-3","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-07-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-004?wid=2048&hei=2867&fit=crop","Default","Size","S","SLIM-FIT-T-SHIRT-180GSM-3-S",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-3","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-07-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-004?wid=2048&hei=2867&fit=crop","Default","Size","M","SLIM-FIT-T-SHIRT-180GSM-3-M",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-3","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-07-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-004?wid=2048&hei=2867&fit=crop","Default","Size","L","SLIM-FIT-T-SHIRT-180GSM-3-L",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-3","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-07-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","SLIM-FIT-T-SHIRT-180GSM-3-XL",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-3","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-07-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-07-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","SLIM-FIT-T-SHIRT-180GSM-3-XXL",100,TRUE,FALSE,1290
"fine-knit-cotton-blend-t-shirt-4","Fine knit cotton blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37061436-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-004?wid=2048&hei=2867&fit=crop","Default","Size","S","FINE-KNIT-COTTON-BLEND-T-SHIRT-4-S",100,TRUE,FALSE,2890
"fine-knit-cotton-blend-t-shirt-4","Fine knit cotton blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37061436-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-004?wid=2048&hei=2867&fit=crop","Default","Size","M","FINE-KNIT-COTTON-BLEND-T-SHIRT-4-M",100,TRUE,FALSE,2890
"fine-knit-cotton-blend-t-shirt-4","Fine knit cotton blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37061436-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37061436-56-004?wid=2048&hei=2867&fit=crop","Default","Size","L","FINE-KNIT-COTTON-BLEND-T-SHIRT-4-L",100,TRUE,FALSE,2890
